"n.beta.lac.plasmid","n.beta.lac.chrom","strain","chrom.status","coverage","read.max.len","n.c.plasmids","n.plasmids","n.beta.lac","nc.beta.lac.plasmid","n.rep.chrom","n.rep.plasmid","n.rep.total","n.rep.tot.cen","n.rep.cen.chrom","n.rep.cen.plasmid","n.rep.100.chrom","n.rep.100.plasmid","n.rep.100.total","n.rep.100.cen.chrom","n.rep.100.cen.plasmid","n.rep.100.cen.tot","n.rep.500.chrom","n.rep.500.plasmid","n.rep.500.total","n.rep.500.cen.chrom","n.rep.500.cen.plasmid","n.rep.500.cen.tot","rep.tot.cen","med.tot.rep.len.chrom","med.tot.rep.len.plasmid","med.tot.rep.len","med.rep.len.chrom","med.rep.len.plasmid","med.rep.len","max.rep.len.chrom","max.rep.len.plasmid","max.rep.len","max.rep.len.cen.chrom","max.rep.len.cen.plasmid","max.rep.len.cen","med.AR.len.chrom","med.AR.len.plasmid","med.AR.len","med.AR.len.cen.chrom","med.AR.len.cen.plasmid","med.AR.len.cen","min.AR.len.cen.chrom","min.AR.len.cen.plasmid","min.AR.len.cen","n.rep.chrom.ampC","n.rep.plasmid.ampC","med.AR.len.chrom.ampC","med.AR.len.plasmid.ampC","med.AR.len.ampC","med.rep.len.chrom.ampC","med.rep.len.plasmid.ampC","med.rep.len.ampC","sulfonamide.resistant.sul","TEM.beta.lactamase","ampC.type.beta.lactamase","trimethoprim.resistant.dihydrofolate.reductase.dfr","APH3","streptothricin.acetyltransferase.SAT","ANT3","CTX.M.beta.lactamase","chloramphenicol.acetyltransferase.CAT","AAC3","AAC6.Ib.cr","OXA.beta.lactamase","ANT2","fosfomycin.thiol.transferase","SHV.beta.lactamase","tetracycline.resistant.ribosomal.protection.protein","APH6","macrolide.phosphotransferase.MPH","quinolone.resistance.protein.qnr","n.TEM.1","n.TEM.207","n.rep.chrom.CTX","n.rep.plasmid.CTX","med.AR.len.chrom.CTX","med.AR.len.plasmid.CTX","med.AR.len.CTX","med.rep.len.chrom.CTX","med.rep.len.plasmid.CTX","med.rep.len.CTX","n.rep.chrom.TEM","n.rep.plasmid.TEM","med.AR.len.chrom.TEM","med.AR.len.plasmid.TEM","med.AR.len.TEM","med.rep.len.chrom.TEM","med.rep.len.plasmid.TEM","med.rep.len.TEM","no.x","n.rep.plasmid.SHV","med.AR.len.plasmid.SHV","med.AR.len.SHV","no.y","med.rep.len.plasmid.SHV","med.rep.len.SHV","n.is.fam","max.is.len","IS1","IS110","IS200/IS605","IS21","IS256","IS3","IS4","IS481","IS630","IS66","IS91","ISAS1","ISL3","ISNCY","IS5","IS6","IS30","IS1380","IS1182","ISKRA4","n.is.tot","min_distance_is_gene","n.interrupted.genes"
6,-4,"DA62906","circular",33.8856303179361,73159,11,4,2,6,0,42,42,4,0,4,0,6,6,NA,NA,NA,0,1,1,NA,NA,NA,6,0,101,101,0,32.5,32.5,0,521,521,0,26,26,0,6948.5,6948.5,0,45997,45997,0,42429,42429,0,10,0,24327,24327,0,26,26,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,32,0,4840.5,4840.5,0,39.5,39.5,NA,NA,NA,NA,NA,NA,NA,12,1882,12,2,3,22,0,14,6,0,0,6,0,4,5,12,0,15,1,0,0,0,102,1733.5,NA
0,2,"DA62908","circular",56.8058173299917,115070,2,2,2,0,44,0,44,7,7,0,16,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,99,0,99,65.5,0,65.5,241,0,241,35,0,35,364,0,364,41185,0,41185,31250,0,31250,44,0,364,0,364,65.5,0,65.5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1766,9,7,3,15,0,13,2,0,1,5,0,2,2,12,0,0,0,0,0,0,71,16341,0
8,-4,"DA62910","circular",46.9064029606994,113563,7,2,4,NA,89,85,174,38,29,9,17,19,36,6,4,10,16,1,17,6,1,7,12,230,1764,997,32,42,35,771,820,820,771,820,820,29146,496,4662.5,127096,108521,108573,28644,11022,11022,89,0,29146,0,29146,32,0,32,2,1,3,2,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,85,0,496,496,0,42,42,NA,NA,NA,NA,NA,NA,NA,9,1907,232,14,0,1,0,48,3,0,0,0,10,3,0,15,0,11,0,0,0,0,337,1013.5,0
2,-1,"DA62912","circular",64.4835998066737,108644,11,3,1,2,0,10,10,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,101,101,0,26,26,0,36,36,0,26,26,0,24327,24327,0,45997,45997,0,42429,42429,0,10,0,24327,24327,0,26,26,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1855,2,2,3,23,0,16,1,0,0,7,0,4,2,13,0,0,1,0,0,0,74,20888.5,NA
3,-1,"DA62914","circular",53.3106812804752,118168,3,2,2,3,0,71,71,25,0,25,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,336,336,0,26,26,0,117,117,0,53,53,0,11376,11376,0,173800,173800,0,31250,31250,0,71,0,11376,11376,0,26,26,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1914,1,7,2,30,0,18,2,0,4,1,0,4,1,12,0,0,0,0,0,0,82,23603,NA
10,-6,"DA62916","circular",170.243035964157,93611,2,2,4,NA,0,44,44,11,0,11,0,5,5,NA,NA,NA,0,5,5,NA,NA,NA,10,0,53,53,0,36,36,0,1786,1786,0,41,41,0,8577.5,8577.5,0,101918,101918,0,34082,34082,0,24,0,54707.5,54707.5,0,26.5,26.5,1,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,20,0,5362,5362,0,44.5,44.5,NA,NA,NA,NA,NA,NA,NA,12,1895,22,10,2,2,0,13,5,0,0,19,0,2,18,14,6,35,0,0,0,0,148,12473.5,NA
0,3,"DA62918","circular",50.9101394989885,105374,0,0,3,0,32,0,32,9,9,0,1,0,1,1,0,1,1,0,1,1,0,1,5,481.5,0,481.5,22.5,0,22.5,768,0,768,768,0,768,11874,0,11874,88581,0,88581,23121,0,23121,23,0,10036,0,10036,23,0,23,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,9,0,16155,0,16155,22,0,22,NA,NA,NA,NA,NA,NA,NA,12,1765,19,4,6,13,0,17,5,2,2,9,0,20,3,10,0,0,0,0,0,0,110,4406,0
17,-10,"DA62920","circular",91.7603842750847,160563,3,2,7,NA,110,89,199,70,32,38,2,8,10,NA,NA,NA,0,8,8,NA,NA,NA,21,273,593,414,31,32,31,139,9570,9570,41,68,68,26768,8632,12008,114439.5,8633,31005.5,30953,8535,8535,110,0,26768,0,26768,31,0,31,4,4,3,2,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,0,89,0,8632,8632,0,32,32,NA,NA,NA,NA,NA,NA,NA,11,1924,61,19,0,31,0,105,1,3,0,18,0,11,3,46,0,156,0,0,0,0,454,6233.5,NA
0,2,"DA62924","circular",57.8678875589041,84521,1,1,2,0,23,0,23,7,7,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,174,0,174,23,0,23,106,0,106,33,0,33,10036,0,10036,88581,0,88581,37574,0,37574,23,0,10036,0,10036,23,0,23,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1766,1,5,6,13,0,9,5,2,2,6,0,2,3,6,0,0,0,0,0,0,60,46813.5,0
3,1,"DA62926","circular",52.9355923152779,114314,6,4,4,3,1,119,120,26,0,26,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,100,100,34,26,27,34,144,144,0,38,38,469,545,543,0,159024.5,159024.5,0,31832,31832,0,119,0,545,545,0,26,26,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,0,469,0,469,34,0,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1996,3,0,14,7,3,14,1,0,0,3,0,0,0,14,2,0,0,1,0,0,62,8958,NA
4,-1,"DA62928","linear",30.3730958719369,87983,4,4,3,4,0,109,109,25,0,25,0,6,6,NA,NA,NA,0,1,1,NA,NA,NA,4,0,336,336,0,31,31,0,1701,1701,0,53,53,0,11283,11283,0,173801,173801,0,31149,31149,0,69,0,11377,11377,0,26,26,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,40,0,10806.5,10806.5,0,53.5,53.5,NA,NA,NA,NA,NA,NA,NA,13,1967,1,7,2,9,0,40,34,0,4,7,3,2,1,14,2,0,0,0,0,0,126,593.5,NA
0,3,"DA62932","circular",132.741407696415,110664,0,0,3,0,24,0,24,6,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,65,0,65,24,0,24,99,0,99,22,0,22,268,0,268,141060,0,141060,85033,0,85033,24,0,268,0,268,24,0,24,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1907,2,0,7,1,0,20,0,0,0,0,0,7,0,14,0,0,0,0,0,0,51,84750.5,NA
7,-3,"DA62934","linear",25.274012223214,101003,16,5,4,7,0,77,77,6,0,6,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,72,72,0,32,32,0,166,166,0,26,26,0,441,441,0,104266,104266,0,88368,88368,0,76,0,426,426,0,32.5,32.5,0,1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,8770,8770,0,20,20,NA,NA,NA,NA,NA,NA,NA,12,1963,13,8,3,3,3,33,0,0,1,2,1,0,0,13,0,4,1,0,0,0,85,1016.5,0
0,3,"DA62936","circular",64.5429147454212,110107,0,0,3,0,24,0,24,6,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,65,0,65,24,0,24,99,0,99,22,0,22,268,0,268,141060,0,141060,85033,0,85033,24,0,268,0,268,24,0,24,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1907,2,0,7,1,0,20,0,0,0,0,0,7,0,14,0,0,0,0,0,0,51,84750.5,NA
0,3,"DA62938","circular",40.5725482438874,113562,7,1,3,0,118,0,118,26,26,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,344,0,344,26,0,26,144,0,144,38,0,38,543,0,543,160222.5,0,160222.5,87440,0,87440,118,0,543,0,543,26,0,26,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1905,1,0,18,2,0,19,9,0,0,3,0,0,3,14,14,0,1,0,0,0,84,49871,NA
0,2,"DA62942","circular",19.8867953430178,89132,0,0,2,0,14,0,14,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,37,0,37,25.5,0,25.5,98,0,98,31,0,31,17578,0,17578,93367,0,93367,30987,0,30987,14,0,17578,0,17578,25.5,0,25.5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1996,0,0,18,9,0,25,4,0,0,8,0,2,0,13,0,0,0,0,0,0,79,16006,NA
0,2,"DA62944","circular",70.112460389537,74637,0,0,2,0,26,0,26,15,15,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,215.5,0,215.5,26.5,0,26.5,106,0,106,53,0,53,41734.5,0,41734.5,133224,0,133224,31248,0,31248,26,0,41734.5,0,41734.5,26.5,0,26.5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1913,1,7,4,2,0,14,6,0,2,1,0,10,3,12,0,0,0,0,0,0,62,92707,NA
13,-7,"DA62946","circular",101.051920011225,102218,19,6,6,NA,76,722,798,57,30,27,7,14,21,4,0,4,2,0,2,NA,NA,NA,19,2126,273,335.5,38,36,36,586,228,586,395,41,395,8655,602,669,71941,105016,75280,61917,30934,30934,0,108,0,20217.5,20217.5,0,30,30,2,3,3,2,4,0,1,0,1,0,0,0,0,0,0,0,3,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,76,614,8655,565,625,38,36,36,NA,NA,NA,NA,NA,NA,NA,13,1997,111,0,6,13,0,21,27,3,0,20,0,11,7,19,7,54,5,0,0,0,304,653.5,NA
4,-1,"DA62948","circular",43.3653538534695,99468,10,4,3,4,0,70,70,15,0,15,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,178,178,0,32,32,0,115,115,0,52,52,0,6955,6955,0,31249,31249,0,19138,19138,0,30,0,6764.5,6764.5,0,32.5,32.5,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,40,0,6955,6955,0,32,32,NA,NA,NA,NA,NA,NA,NA,11,1843,11,2,2,16,0,16,2,0,0,23,0,2,4,15,0,0,1,0,0,0,94,16341,0
0,1,"DA62950","circular",53.7013996671357,105019,12,2,1,0,8,0,8,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,78,0,78,26,0,26,36,0,36,26,0,26,24327,0,24327,45950,0,45950,42429,0,42429,8,0,24327,0,24327,26,0,26,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1928,0,3,9,14,0,8,1,0,0,2,0,4,2,11,0,0,1,0,0,0,55,NA,NA
4,-1,"DA62952","linear",82.6979036174633,124999,20,5,3,NA,0,93,93,26,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,344,344,0,26,26,0,94,94,0,38,38,0,6955,6955,0,161514.5,161514.5,0,89931,89931,0,93,0,6955,6955,0,26,26,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1996,14,3,15,20,0,28,4,0,0,4,0,0,2,16,77,0,0,0,0,0,183,3202.5,0
10,-7,"DA62954","circular",53.8023723403011,106914,4,2,3,NA,0,51,51,14,0,14,0,4,4,0,3,3,NA,NA,NA,NA,NA,NA,10,0,426,426,0,26,26,0,214,214,0,214,214,0,1723,1723,0,26272.5,26272.5,0,6808,6808,0,10,0,24326,24326,0,26,26,1,1,1,2,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,NA,0,0,NA,0,40,0,945,945,0,25.5,25.5,NA,NA,NA,NA,NA,NA,NA,14,1999,28,3,4,12,0,28,27,3,0,9,0,4,1,19,0,20,1,2,0,0,161,893.5,NA
2,0,"DA62956","circular",53.6118848928715,101472,29,3,2,2,26,8,34,7,4,3,6,0,6,1,0,1,1,0,1,NA,NA,NA,6,386,78,232,36,26,32.5,521,36,521,257,26,257,6948.5,24327,8658,46203.5,45950,45950,44000,42429,42429,0,8,0,24327,24327,0,26,26,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,26,0,6948.5,0,6948.5,36,0,36,NA,NA,NA,NA,NA,NA,NA,12,1883,12,2,9,27,0,14,6,0,0,12,0,4,5,12,0,15,1,0,0,0,119,1283,NA
5,-1,"DA62958","linear",21.010669782235,77223,45,6,4,NA,0,139,139,26,0,26,0,6,6,NA,NA,NA,0,1,1,NA,NA,NA,5,0,77.5,77.5,0,26,26,0,1787,1787,0,38,38,0,452,452,0,152563,152563,0,31139,31139,0,119,0,399,399,0,26,26,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,20,0,4252.5,4252.5,0,38.5,38.5,NA,NA,NA,NA,NA,NA,NA,11,1870,2,2,5,1,0,22,0,0,0,5,2,6,1,17,0,0,2,0,0,0,65,22479.5,NA
0,3,"DA62960","circular",27.9724763311649,104568,0,0,3,0,118,0,118,26,26,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,344,0,344,26,0,26,144,0,144,38,0,38,543.5,0,543.5,159025.5,0,159025.5,87441,0,87441,118,0,543.5,0,543.5,26,0,26,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1870,1,0,9,7,1,12,1,0,0,3,0,0,0,14,1,0,0,0,0,0,49,49874,NA
3,-1,"DA62962","circular",31.4956092313329,131160,3,1,2,3,0,23,23,7,0,7,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,174,174,0,23,23,0,106,106,0,33,33,0,10036,10036,0,88581,88581,0,37574,37574,0,23,0,10036,10036,0,23,23,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1988,1,5,11,8,0,7,7,0,2,1,0,8,4,6,0,0,0,0,0,0,60,23392,0
