"strain","chrom.status","coverage","read.max.len","n.c.plasmids","n.beta.lac.4","n.plasmids","n.beta.lac","n.beta.lac.plasmid","n.beta.lac.chrom","min.dist.oriC.chrom","min.dist.oriC.plasmid","min.dist.oriC","med.dist.oriC.chrom","med.dist.oriC.plasmid","med.dist.oriC","n.beta.lac.plus.chrom","n.beta.lac.plus.plasmid","nc.beta.lac.plus.plasmid","n.beta.lac.plus","nc.beta.lac.plus","nc.beta.lac.plasmid","n.rep.chrom","n.rep.plasmid","n.rep.total","n.rep.tot.cen","n.rep.cen.chrom","n.rep.cen.plasmid","n.rep.100.chrom","n.rep.100.plasmid","n.rep.100.total","n.rep.100.cen.chrom","n.rep.100.cen.plasmid","n.rep.100.cen.tot","n.rep.500.chrom","n.rep.500.plasmid","n.rep.500.total","n.rep.500.cen.chrom","n.rep.500.cen.plasmid","n.rep.500.cen.tot","rep.in","med.tot.rep.len.chrom","med.tot.rep.len.plasmid","med.tot.rep.len","med.rep.len.chrom","med.rep.len.plasmid","med.rep.len","max.rep.len.chrom","max.rep.len.plasmid","max.rep.len","max.rep.len.cen.chrom","max.rep.len.cen.plasmid","max.rep.len.cen","med.AR.len.chrom","med.AR.len.plasmid","med.AR.len","med.AR.len.cen.chrom","med.AR.len.cen.plasmid","med.AR.len.cen","min.AR.len.cen.chrom","min.AR.len.cen.plasmid","min.AR.len.cen","n.rep.chrom.ampC","n.rep.plasmid.ampC","med.AR.len.chrom.ampC","med.AR.len.plasmid.ampC","med.AR.len.ampC","med.rep.len.chrom.ampC","med.rep.len.plasmid.ampC","med.rep.len.ampC","ampC.type.beta.lactamase","TEM.beta.lactamase","sulfonamide.resistant.sul","trimethoprim.resistant.dihydrofolate.reductase.dfr","APH3","streptothricin.acetyltransferase.SAT","ANT3","CTX.M.beta.lactamase","chloramphenicol.acetyltransferase.CAT","AAC3","OXA.beta.lactamase","AAC6.Ib.cr","ANT2","fosfomycin.thiol.transferase","SHV.beta.lactamase","tetracycline.resistant.ribosomal.protection.protein","APH4","DHA.beta.lactamase","APH6","macrolide.phosphotransferase.MPH","quinolone.resistance.protein.qnr","n.TEM.1","n.TEM.210","n.TEM.148","n.TEM.37","n.rep.chrom.CTX","n.rep.plasmid.CTX","med.AR.len.chrom.CTX","med.AR.len.plasmid.CTX","med.AR.len.CTX","med.rep.len.chrom.CTX","med.rep.len.plasmid.CTX","med.rep.len.CTX","n.rep.chrom.TEM","n.rep.plasmid.TEM","med.AR.len.chrom.TEM","med.AR.len.plasmid.TEM","med.AR.len.TEM","med.rep.len.chrom.TEM","med.rep.len.plasmid.TEM","med.rep.len.TEM","n.rep.plasmid.SHV","med.AR.len.plasmid.SHV","med.AR.len.SHV","med.rep.len.plasmid.SHV","med.rep.len.SHV","n.is.fam","max.is.len","IS1","IS110","IS200/IS605","IS21","IS256","IS3","IS4","IS481","IS630","IS66","IS91","ISAS1","ISL3","ISNCY","IS5","IS6","IS30","new","IS1380","IS1182","ISKRA4","n.is.tot","min_distance_is_gene","n.interrupted.genes","resistance"
"DA62906","circular",33.8856303179361,73159,11,"no",4,2,2,0,0,61512,61512,0,587328,587328,0,1,1,1,1,2,0,42,42,4,0,4,0,6,6,0,0,0,0,1,1,0,0,0,0,0,101,101,0,32.5,32.5,0,521,521,0,26,26,0,6948.5,6948.5,0,45997,45997,0,42429,42429,0,10,0,24327,24327,0,26,26,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32,0,4840.5,4840.5,0,39.5,39.5,0,0,0,0,0,13,2524,12,2,9,29,0,14,6,1,0,12,0,4,6,12,0,15,1,0,0,0,0,123,4041.5,0,"nonHR"
"DA62908","circular",56.8058173299917,115070,2,"no",2,2,0,2,771344,0,771344,1122197.5,0,1122197.5,2,0,0,2,2,0,44,0,44,7,7,0,16,0,16,0,0,0,0,0,0,0,0,0,0,99,0,99,65.5,0,65.5,241,0,241,35,0,35,364,0,364,41185,0,41185,31250,0,31250,44,0,364,0,364,65.5,0,65.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1766,9,7,3,15,0,13,2,0,1,5,0,2,2,12,0,0,0,0,0,0,0,71,19550,0,"nonHR"
"DA62910","circular",46.9064029606994,113563,7,"no",2,4,1,3,298434,67517,365951,913994,67517,981511,1,0,0,1,1,2,89,85,174,38,29,9,17,19,36,6,4,10,16,1,17,6,1,7,0,230,1764,997,32,42,35,771,820,820,771,820,820,29146,496,4662.5,127096,108521,108573,28644,11022,11022,89,0,29146,0,29146,32,0,32,3,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,85,0,496,496,0,42,42,0,0,0,0,0,10,3726,242,14,0,1,0,48,3,0,0,0,10,3,0,15,0,11,0,20,0,0,0,367,1013.5,0,"nonHR"
"DA62912","circular",64.4835998066737,108644,11,"no",3,1,1,0,0,463124,463124,0,463124,463124,0,0,0,0,0,1,0,10,10,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,101,0,26,26,0,36,36,0,26,26,0,24327,24327,0,45997,45997,0,42429,42429,0,10,0,24327,24327,0,26,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4505,2,2,9,30,0,20,3,1,0,12,0,4,3,13,0,0,1,0,0,0,0,100,0,0,"nonHR"
"DA62914","circular",53.3106812804752,118168,3,"no",2,2,2,0,0,779255,779255,0,1203623,1203623,0,2,2,2,2,2,0,71,71,25,0,25,0,1,1,0,0,0,0,0,0,0,0,0,0,0,336,336,0,26,26,0,117,117,0,53,53,0,11376,11376,0,173800,173800,0,31250,31250,0,71,0,11376,11376,0,26,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1914,1,7,2,30,0,18,2,0,4,1,0,4,1,12,0,0,0,0,0,0,0,82,23603,0,"nonHR"
"DA62916","linear",16.6014887297758,87617,2,"no",2,4,4,0,0,54351,54351,0,995436.5,995436.5,0,2,2,2,2,4,0,50,50,16,0,16,0,5,5,0,0,0,0,5,5,0,0,0,0,0,101.5,101.5,0,29.5,29.5,0,1786,1786,0,41,41,0,8651.5,8651.5,0,92144,92144,0,8649,8649,0,24,0,54707.5,54707.5,0,26.5,26.5,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,0,8565,8565,0,30.5,30.5,0,0,0,0,0,13,3996,18,4,2,8,0,52,5,0,0,9,0,2,13,28,1,35,0,14,0,0,0,191,11741.5,0,"nonHR"
"DA62918","circular",10.9677004688943,86408,1,"no",1,3,0,3,372401,0,372401,3862585,0,3862585,3,0,0,3,3,0,32,0,32,9,9,0,1,0,1,1,0,1,1,0,1,1,0,1,0,481.5,0,481.5,22.5,0,22.5,768,0,768,768,0,768,11874,0,11874,88581,0,88581,23121,0,23121,23,0,10036,0,10036,23,0,23,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,16155,0,16155,22,0,22,0,0,0,0,0,12,3954,21,5,6,23,0,17,5,2,2,11,0,14,3,10,0,0,0,0,0,0,0,119,5443.5,0,"nonHR"
"DA62920","circular",19.2265541138365,129041,7,"no",3,4,1,3,1346131,5728,1351859,3637742,5728,3643470,2,1,4,3,6,4,102,1,103,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,0,273,30.5,0,30.5,93,0,93,41,0,41,31060.5,0,31060.5,114439.5,0,114439.5,30953,0,30953,102,0,31060.5,0,31060.5,30.5,0,30.5,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,1924,42,1,0,17,0,30,1,3,0,18,3,11,3,14,0,9,0,0,0,0,0,152,0,0,"HR"
"DA62922","circular",100.173185714119,82147,39,"no",5,2,1,1,3970865,1884,3972749,3970865,1884,3972749,0,0,0,0,0,1,10,10,20,8,4,4,0,1,1,0,1,1,0,1,1,0,1,1,0,101,904,502.5,26,39.5,32,36,768,768,26,768,768,24327,4840.5,17402,45997,45837,45997,42429,10787,10787,10,0,24327,0,24327,26,0,26,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4840.5,4840.5,0,39.5,39.5,0,0,0,0,0,13,2524,12,2,9,27,0,14,6,1,0,18,0,4,6,12,0,15,1,0,0,0,0,127,4798.5,0,"nonHR"
"DA62924","circular",75.3916214857285,84521,1,"no",1,2,0,2,3729981,0,3729981,4101187.5,0,4101187.5,2,0,0,2,2,0,23,0,23,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,174,23,0,23,86,0,86,33,0,33,10036,0,10036,88581,0,88581,37574,0,37574,23,0,10036,0,10036,23,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3954,1,9,6,20,0,9,5,2,2,11,0,2,3,6,0,0,0,0,0,0,0,76,31998.5,0,"nonHR"
"DA62926","circular",52.9355923152779,114314,6,"no",4,4,3,1,65369,2128121,2193490,65369,4159202,4224571,1,1,1,2,2,3,1,119,120,26,0,26,0,2,2,0,0,0,0,0,0,0,0,0,0,0,100,100,34,26,27,34,144,144,0,38,38,469,545,543,0,159024.5,159024.5,0,31832,31832,0,119,0,545,545,0,26,26,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,469,0,469,34,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4683,3,0,19,7,3,14,2,0,0,3,0,0,0,14,2,0,1,0,1,0,0,69,7245,0,"nonHR"
"DA62928","linear",30.3730958719369,87983,5,"no",5,3,3,0,0,31032,31032,0,131645,131645,0,2,2,2,2,3,0,109,109,25,0,25,0,6,6,0,0,0,0,1,1,0,0,0,0,0,336,336,0,31,31,0,1701,1701,0,53,53,0,11283,11283,0,173801,173801,0,31149,31149,0,69,0,11377,11377,0,26,26,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40,0,10806.5,10806.5,0,53.5,53.5,0,0,0,0,0,13,3175,1,7,2,20,0,49,34,0,4,7,3,2,1,14,2,0,0,0,0,0,0,146,593.5,0,"nonHR"
"DA62932","circular",31.4875033617736,110664,0,"no",0,3,0,3,1411730,0,1411730,3672637,0,3672637,2,0,0,2,2,0,24,0,24,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,65,24,0,24,99,0,99,22,0,22,268,0,268,141060,0,141060,85033,0,85033,24,0,268,0,268,24,0,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3126,2,0,11,2,0,21,0,0,0,0,0,7,0,14,0,0,0,0,0,0,0,57,0,0,"nonHR"
"DA62934","linear",25.274012223214,101003,15,"no",5,4,4,0,0,69158,69158,0,1947456.5,1947456.5,0,3,3,3,3,4,0,77,77,6,0,6,0,3,3,0,0,0,0,0,0,0,0,0,0,0,72,72,0,32,32,0,166,166,0,26,26,0,441,441,0,104266,104266,0,88368,88368,0,76,0,426,426,0,32.5,32.5,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8770,8770,0,20,20,0,0,0,0,0,12,2951,13,8,6,5,3,44,0,0,1,2,1,0,0,13,0,4,1,0,0,0,0,101,1016.5,0,"nonHR"
"DA62936","circular",17.0835078207522,110107,0,"no",0,3,0,3,1411730,0,1411730,3672637,0,3672637,2,0,0,2,2,0,24,0,24,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,65,24,0,24,99,0,99,22,0,22,268,0,268,141060,0,141060,85033,0,85033,24,0,268,0,268,24,0,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3126,2,0,11,2,0,21,0,0,0,0,0,7,0,14,0,0,0,0,0,0,0,57,0,0,"nonHR"
"DA62938","circular",40.5725482438874,113562,7,"no",1,3,0,3,882728,0,882728,1649933,0,1649933,2,0,0,2,2,0,118,0,118,26,26,0,2,0,2,0,0,0,0,0,0,0,0,0,0,344,0,344,26,0,26,144,0,144,38,0,38,543,0,543,160222.5,0,160222.5,87440,0,87440,118,0,543,0,543,26,0,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4350,1,0,21,3,0,19,10,0,0,3,0,0,3,14,18,0,2,0,0,0,0,94,49871,0,"nonHR"
"DA62940","circular",24.8215365936366,122024,2,"no",2,2,2,0,0,2711325,2711325,0,3107963,3107963,0,2,2,2,2,2,0,28,28,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.5,226.5,0,26,26,0,86,86,0,53,53,0,41734.5,41734.5,0,138327.5,138327.5,0,31248,31248,0,28,0,41734.5,41734.5,0,26,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3451,3,8,2,10,0,56,2,1,2,3,0,22,3,12,0,0,0,0,0,0,0,124,82205.5,0,"nonHR"
"DA62942","circular",19.8867953430178,89132,0,"no",0,2,0,2,3347464,0,3347464,3697180.5,0,3697180.5,0,0,0,0,0,0,14,0,14,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,37,25.5,0,25.5,98,0,98,31,0,31,17578,0,17578,93367,0,93367,30987,0,30987,14,0,17578,0,17578,25.5,0,25.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3518,0,0,21,9,0,26,4,0,0,8,0,2,0,13,0,0,0,0,0,0,0,83,54361,0,"nonHR"
"DA62944","circular",14.8738261076313,74637,0,"no",0,2,0,2,3748965,0,3748965,4109720.5,0,4109720.5,2,0,0,2,2,0,28,0,28,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.5,0,226.5,26,0,26,86,0,86,53,0,53,41734.5,0,41734.5,138327,0,138327,31248,0,31248,28,0,41734.5,0,41734.5,26,0,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2371,1,7,4,14,0,16,6,4,2,2,0,10,3,12,0,0,0,0,0,0,0,81,92708,0,"nonHR"
"DA62946","circular",22.9646668823399,102218,58,"yes",9,5,2,3,1411530,3451,1414981,3576711,17976.5,3594687.5,2,1,1,3,3,2,96,487,583,30,30,0,0,6,6,0,0,0,0,1,1,0,0,0,0,273,0,273,30.5,33,31,93,586,586,41,0,41,35602,603,666,127734.5,0,127734.5,30934,0,30934,96,0,35602,0,35602,30.5,0,30.5,3,2,2,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,487,0,603,603,0,33,33,0,0,0,0,0,13,5677,121,0,4,16,0,23,15,3,0,33,0,11,6,19,8,54,7,0,0,0,0,320,5662.5,0,"HR"
"DA62948","circular",9.96066042773454,99468,12,"no",4,3,1,2,3760979,52435,3813414,4126490,52435,4178925,0,0,0,0,0,1,32,41,73,13,8,5,3,0,3,0,0,0,0,0,0,0,0,0,0,109,213,178,32,33,33,115,95,115,35,68,68,6975,8554,8554,66698.5,22622,37570,31249,22593,22593,32,0,6975,0,6975,32,0,32,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41,0,8554,8554,0,33,33,0,0,0,0,0,11,2555,11,2,2,32,0,21,2,0,0,23,0,2,4,15,0,0,1,0,0,0,0,115,19549,0,"nonHR"
"DA62950","circular",12.2057269031536,105019,12,"no",2,1,0,1,4462819,0,4462819,4462819,0,4462819,0,0,0,0,0,0,10,0,10,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,101,26,0,26,36,0,36,26,0,26,24327,0,24327,45997,0,45997,42429,0,42429,10,0,24327,0,24327,26,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2985,1,3,9,7,0,8,1,0,0,2,0,4,2,11,0,0,1,0,0,0,0,49,0,0,"nonHR"
"DA62952","linear",82.6979036174633,124999,20,"no",5,3,3,0,0,636602,636602,0,2600924,2600924,0,2,2,2,2,3,0,93,93,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,344,0,26,26,0,94,94,0,38,38,0,6955,6955,0,161514.5,161514.5,0,89931,89931,0,93,0,6955,6955,0,26,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3649,19,3,19,22,0,30,4,0,0,4,0,0,2,16,83,0,0,0,0,0,0,202,3202.5,0,"nonHR"
